2023-06-21 18:16:46,797 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Configure stats pid to 877467
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Loading settings from /home/cgm/.config/wandb/settings
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Loading settings from /home/cgm/code/CGM__GCLRec/code/wandb/settings
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code/main.py', 'program': '/home/cgm/code/CGM__GCLRec/code/main.py'}
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_init.py:_log_setup():507] Logging user logs to /home/cgm/code/CGM__GCLRec/code/wandb/run-20230621_181646-n1yoges7/logs/debug.log
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_init.py:_log_setup():508] Logging internal logs to /home/cgm/code/CGM__GCLRec/code/wandb/run-20230621_181646-n1yoges7/logs/debug-internal.log
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_init.py:init():547] calling init triggers
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'temp_tau': 0.12, 'edge_drop_prob': 0.1, 'latent_dim_rec': 64, 'num_layers': 3, 'if_pretrain': 0, 'dataset': 'yelp2018', 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 2023, 'model': 'SimGCL', 'if_load_embedding': 0, 'if_tensorboard': 1, 'epochs': 1000, 'if_multicore': 1, 'early_stop_steps': 30, 'batch_size': 2048, 'lambda1': 0.1, 'topks': [20, 40], 'test_u_batch_size': 2048, 'pop_group': 10, 'if_big_matrix': 0, 'n_fold': 2, 'p_drop': 0.1, 'perplexity': 50, 'visual_epoch': 3, 'if_double_label': 1, 'if_tsne': 1, 'tsne_group': [0, 9], 'eps_SimGCL': 0.1, 'init_method': 'Normal', 'tsne_points': 2000, 'loss': 'Adaptive', 'augment': 'No', 'alpha': 0.5, 'epoch_only_pop_for_BCloss': 5, 'centroid_mode': 'eigenvector', 'commonNeighbor_mode': 'SC', 'n_cluster': 10, 'sigma_gausse': 1.0, 'adaptive_method': 'mlp', 'epsilon_GCLRec': 0.1, 'w_GCLRec': 0.1, 'k_aug': 0, 'if_visual': 0, 'GTN_K': 3, 'GTN_alpha': 0.3, 'if_SVD': 1, 'svd_q': 5, 'tau_plus': 0.1, 'pop_gamma': 0.02, 'if_projector': 0, 'if_valid': 0, 'temp_tau_pop': 0.1, 'lambda_ForkMerge': 0.5, 'adaloss_mode': 'pos', 'train_mode': 'forkmerge', 'comment': '_', 'user_emb': 0, 'item_emb': 0, 'project': 'GCLRec_No_Valid', 'name': 'SimGCL+infoNCE+AdaLoss', 'tag': ['Adaptive_loss'], 'notes': 'SimGCL+InfoNCE_+_AdaLoss_mlp', 'group': 'Ours', 'job_type': 'yelp2018', 'device': device(type='cuda'), 'cores': 10}
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_init.py:init():596] starting backend
2023-06-21 18:16:46,798 INFO    MainThread:877467 [wandb_init.py:init():600] setting up manager
2023-06-21 18:16:46,799 INFO    MainThread:877467 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-21 18:16:46,800 INFO    MainThread:877467 [wandb_init.py:init():606] backend started and connected
2023-06-21 18:16:46,803 INFO    MainThread:877467 [wandb_init.py:init():700] updated telemetry
2023-06-21 18:16:46,817 INFO    MainThread:877467 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-21 18:16:47,728 INFO    MainThread:877467 [wandb_run.py:_on_init():2177] communicating current version
2023-06-21 18:16:52,731 INFO    MainThread:877467 [wandb_run.py:_on_init():2186] got version response 
2023-06-21 18:16:52,731 INFO    MainThread:877467 [wandb_init.py:init():787] starting run threads in backend
2023-06-21 18:16:57,891 INFO    MainThread:877467 [wandb_run.py:_console_start():2158] atexit reg
2023-06-21 18:16:57,891 INFO    MainThread:877467 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-06-21 18:16:57,891 INFO    MainThread:877467 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-21 18:16:57,891 INFO    MainThread:877467 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-21 18:16:57,892 INFO    MainThread:877467 [wandb_init.py:init():829] run started, returning control to user process
2023-06-21 18:17:12,848 INFO    MainThread:877467 [wandb_watch.py:watch():51] Watching
2023-06-21 18:17:12,849 INFO    MainThread:877467 [wandb_watch.py:watch():51] Watching
2023-06-21 18:17:19,939 WARNING MsgRouterThr:877467 [router.py:message_loop():77] message_loop has been closed
